OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv6.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;9.0;3;3;0.5;0.7181818;1.0
PPUv6.xml;PPUv2.xml;ACTS;6;42.0;3;3;0.5;0.7181818;1.0
PPUv6.xml;PPUv2.xml;MUTTESTGENERATOR;4;9.0;1;3;0.25;0.7181818;0.51363635
PPUv6.xml;PPUv2.xml;BDD_FMREDUCED;6;18.0;3;3;0.5;0.7181818;1.0
PPUv6.xml;PPUv2.xml;INCLING;6;7.0;3;3;0.5;0.7181818;1.0
PPUv6.xml;PPUv2.xml;GFE;6;3.0;3;3;0.5;0.7181818;1.0
PPUv6.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;11.0;4;3;0.5714286;0.7;1.0
PPUv6.xml;PPUv3.xml;ACTS;7;42.0;4;3;0.5714286;0.7;1.0
PPUv6.xml;PPUv3.xml;MUTTESTGENERATOR;7;8.0;3;4;0.42857143;0.7;0.5181818
PPUv6.xml;PPUv3.xml;BDD_FMREDUCED;7;16.0;4;3;0.5714286;0.7;1.0
PPUv6.xml;PPUv3.xml;INCLING;7;6.0;4;3;0.5714286;0.7;1.0
PPUv6.xml;PPUv3.xml;GFE;7;3.0;4;3;0.5714286;0.7;1.0
PPUv6.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;8;17.0;4;4;0.5;0.75974023;1.0
PPUv6.xml;PPUv4.xml;ACTS;9;104.0;4;5;0.44444445;0.75974023;1.0
PPUv6.xml;PPUv4.xml;MUTTESTGENERATOR;10;14.0;3;7;0.3;0.75974023;0.55448717
PPUv6.xml;PPUv4.xml;BDD_FMREDUCED;8;24.0;3;5;0.375;0.75974023;1.0
PPUv6.xml;PPUv4.xml;INCLING;9;8.0;4;5;0.44444445;0.75974023;1.0
PPUv6.xml;PPUv4.xml;GFE;9;5.0;3;6;0.33333334;0.75974023;1.0
PPUv6.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;11;42.0;0;11;0.0;0.9067164;1.0
PPUv6.xml;PPUv5.xml;ACTS;12;193.0;0;12;0.0;0.9067164;1.0
PPUv6.xml;PPUv5.xml;MUTTESTGENERATOR;5;36.0;0;5;0.0;0.9070632;0.43014705
PPUv6.xml;PPUv5.xml;BDD_FMREDUCED;11;68.0;0;11;0.0;0.9067164;1.0
PPUv6.xml;PPUv5.xml;INCLING;13;10.0;0;13;0.0;0.9067164;1.0
PPUv6.xml;PPUv5.xml;GFE;11;9.0;0;11;0.0;0.9067164;1.0
PPUv6.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;15;51.0;10;5;0.6666667;0.9194139;1.0
PPUv6.xml;PPUv7.xml;ACTS;12;156.0;5;7;0.41666666;0.9194139;1.0
PPUv6.xml;PPUv7.xml;MUTTESTGENERATOR;6;36.0;4;2;0.6666667;0.9194139;0.44852942
PPUv6.xml;PPUv7.xml;BDD_FMREDUCED;14;67.0;9;5;0.64285713;0.9194139;1.0
PPUv6.xml;PPUv7.xml;INCLING;13;13.0;8;5;0.61538464;0.9194139;1.0
PPUv6.xml;PPUv7.xml;GFE;12;11.0;4;8;0.33333334;0.919708;1.0
PPUv6.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;13;46.0;9;4;0.6923077;0.9130435;1.0
PPUv6.xml;PPUv8.xml;ACTS;12;193.0;7;5;0.5833333;0.9130435;1.0
PPUv6.xml;PPUv8.xml;MUTTESTGENERATOR;4;69.0;4;0;1.0;0.9130435;0.41911766
PPUv6.xml;PPUv8.xml;BDD_FMREDUCED;12;71.0;8;4;0.6666667;0.9133574;1.0
PPUv6.xml;PPUv8.xml;INCLING;12;11.0;7;5;0.5833333;0.91366905;1.0
PPUv6.xml;PPUv8.xml;GFE;12;11.0;4;8;0.33333334;0.9130435;1.0
PPUv7.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;10.0;3;3;0.5;0.7181818;1.0
PPUv7.xml;PPUv2.xml;ACTS;6;71.0;3;3;0.5;0.7181818;1.0
PPUv7.xml;PPUv2.xml;MUTTESTGENERATOR;4;10.0;1;3;0.25;0.7181818;0.51363635
PPUv7.xml;PPUv2.xml;BDD_FMREDUCED;6;15.0;3;3;0.5;0.7181818;1.0
